nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
HERACLES - BEARNAIS;86;18;O;O;RUE DU BEARNAIS;BEARNAIS (RUE DU BEARNAIS);23;3105550948;Toulouse;31555;1573148,519;2268730,998;1,42860287;43,60800994
ST AUBIN  - CAMICHEL;41;20;O;N;RUE CHARLES CAMICHEL;CAMICHEL (RUE CHARLES CAMICHEL);1;3105551560;Toulouse;31555;1575223,820;2268102,682;1,45444840;43,60270207
COLOMBETTE;40;17;O;N;RUE DE LA COLOMBETTE;COLOMBETTE (RUE DE LA COLOMBETTE);41;3105552192;Toulouse;31555;1575168,612;2268310,954;1,45371722;43,60456723
JAURES  -  STALINGRAD;62;23;O;N;ALL JEAN JAURES;JAURES (ALL JEAN JAURES);71T;3105554600;Toulouse;31555;1575120,139;2268792,882;1,45300702;43,60889619
PERIGORD;14;20;O;O;RUE DE PERIGORD;PERIGORD (RUE DE PERIGORD);26;3105556756;Toulouse;31555;1574442,916;2268643,153;1,44465393;43,60743620
LOIS -  ESQUILE;13;15;O;O;RUE DE L ESQUILE;ESQUILE (RUE DE L ESQUILE);1;3105553080;Toulouse;31555;1574173,606;2268503,702;1,44135065;43,60613632
BONREPOS;61;25;O;O;BD DE BONREPOS;BONREPOS (BD DE BONREPOS);8T;3105551256;Toulouse;31555;1575103,099;2268968,013;1,45275603;43,61046941
ROQUELAINE;60;21;O;N;PL ROQUELAINE;ROQUELAINE (PL ROQUELAINE);32;3105557600;Toulouse;31555;1574760,612;2269216,243;1,44845741;43,61264645
PLACE JEANNE D'ARC;35;20;O;O;RUE RAYMOND IV;RAYMOND IV (RUE RAYMOND IV);1;3105557320;Toulouse;31555;1574633,093;2268887,121;1,44695336;43,60966339
CONCORDE -  ARCOLE;58;25;O;O;RUE DE LA CONCORDE;CONCORDE (RUE DE LA CONCORDE);4;3105552256;Toulouse;31555;1574366,209;2269005,262;1,44362084;43,61068212
